DaysSinceHalving,Price 2016 (USD),Price 2020 (USD),Price 2024 (USD),Log Scale
270,1124.780029296875,38144.30859375,,
271,1182.6800537109375,39266.01171875,,
272,1176.9000244140625,38903.44140625,,
273,1175.949951171875,46196.46484375,,
274,1187.8699951171875,46481.10546875,,
275,1187.1300048828125,44918.18359375,,
276,1205.010009765625,47909.33203125,,
277,1200.3699951171875,47504.8515625,,
278,1169.280029296875,47105.515625,,
279,1167.5400390625,48717.2890625,,
280,1172.52001953125,47945.05859375,,
281,1182.93994140625,49199.87109375,,
282,1193.9100341796875,52149.0078125,,
283,1211.6700439453125,51679.796875,,
284,1210.2900390625,55888.1328125,,
285,1229.0799560546875,56099.51953125,,
286,1222.050048828125,57539.9453125,,
287,1231.7099609375,54207.3203125,,
288,1207.2099609375,48824.42578125,,
289,1250.1500244140625,49705.33203125,,
290,1265.489990234375,47093.8515625,,
291,1281.0799560546875,46339.76171875,,
292,1317.72998046875,46188.453125,,
293,1316.47998046875,45137.76953125,,
294,1321.7900390625,49631.2421875,,
295,1347.8900146484375,48378.98828125,,
296,1421.5999755859375,50538.2421875,,
297,1452.8199462890625,48561.16796875,,
298,1490.0899658203125,48927.3046875,,
299,1537.6700439453125,48912.3828125,,
300,1555.449951171875,51206.69140625,,
301,1578.800048828125,52246.5234375,,
302,1596.7099609375,54824.1171875,,
303,1723.3499755859375,56008.55078125,,
304,1755.3599853515625,57805.12109375,,
305,1787.1300048828125,57332.08984375,,
306,1848.5699462890625,61243.0859375,,
307,1724.239990234375,59302.31640625,,
308,1804.9100341796875,55907.19921875,,
309,1808.9100341796875,56804.90234375,,
310,1738.4300537109375,58870.89453125,,
311,1734.449951171875,57858.921875,,
312,1839.0899658203125,58346.65234375,,
313,1888.6500244140625,58313.64453125,,
314,1987.7099609375,57523.421875,,
315,2084.72998046875,54529.14453125,,
316,2041.199951171875,54738.9453125,,
317,2173.39990234375,52774.265625,,
318,2320.419921875,51704.16015625,,
319,2443.639892578125,55137.3125,,
320,2304.97998046875,55973.51171875,,
321,2202.419921875,55950.74609375,,
322,2038.8699951171875,57750.19921875,,
323,2155.800048828125,58917.69140625,,
324,2255.610107421875,58918.83203125,,
325,2175.469970703125,59095.80859375,,
326,2286.409912109375,59384.3125,,
327,2407.8798828125,57603.890625,,
328,2488.550048828125,58758.5546875,,
329,2515.35009765625,59057.87890625,,
330,2511.81005859375,58192.359375,,
331,2686.81005859375,56048.9375,,
332,2863.199951171875,58323.953125,,
333,2732.159912109375,58245.00390625,,
334,2805.6201171875,59793.234375,,
335,2823.81005859375,60204.96484375,,
336,2947.7099609375,59893.453125,,
337,2958.110107421875,63503.45703125,,
338,2659.6298828125,63109.6953125,,
339,2717.02001953125,63314.01171875,,
