transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
de996f49211cfbd5bb58a9bacb89ce2111c9c072bf856b9739b53295a94a6b15,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qjuyv5rh0rhzkks0nlxv3fv8dcdsc96p7ka4e57,BlackRock: IBIT Bitcoin ETF (bc1qj),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
afb7966827a021d6d5cf72aa6c486b0c737e3cd279f716525866425977248310,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q5pmrn6z94tya6hfj9l9p050aw8e9nvmx856zva,BlackRock: IBIT Bitcoin ETF (bc1q5),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
b9aec450abcdd899e67d047470af3a0970881f22f45c69d814135393f1f4bc12,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,1AMCejvc9QgDifFPa83mtswB14gLXPdBEu,BlackRock: IBIT Bitcoin ETF (1AMCe),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
0250f09371f2d2c0ec63298df1173009e608d52a9475d06a44f323c73241f30b,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,1CvWmRghAXbTbf8WwajHdQJKruTSmFHw1e,BlackRock: IBIT Bitcoin ETF (1CvWm),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
4f3b0929f911c0a8a0ab3547df8afc5d4309761012d9cde6c16071b8fbbe940e,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q6tpn5h0lc56m5xt47gy5uyv5mns5s692ndm6sj,BlackRock: IBIT Bitcoin ETF (bc1q6),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
699afd34a73e7bbed332c472e6359b117858eb9837dbcb847f35acfb6dca7f15,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q5225476mme887382h3zwyaqmkv4qv5ecz8kvwg,BlackRock: IBIT Bitcoin ETF (bc1q5),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
a9b32dcac287260f06b34e73eea6e1e718406d5d17fb2bb514e262da22d8e40a,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qhzcpt3zaytupkkerznhrtnlasvu9qdmmmlcyva,BlackRock: IBIT Bitcoin ETF (bc1qh),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
d5bfc4b1cd4b1958c2c1a4068f40fb45960192cecf8d0d5ed834e47c01ec480f,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qq266gqdf3fgs3w9gn7hkxfr3x4xsmgxgmnhjyk,BlackRock: IBIT Bitcoin ETF (bc1qq),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
40430cf3da8ad6113ce1bf4b1ae990d94cce0f67cf39cafcc1e5579e30d7170d,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q4w6sm9vuwt6xcrurdel9e9k78yksqjn6q8czmp,BlackRock: IBIT Bitcoin ETF (bc1q4),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
ae4894daf9ec1c22638ab4fa08d33e329a8e243bf5c51f381e6269d0fa23590b,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q9fd938nx7eawjsh8f4e7xha5cc09xp6xth4y34,BlackRock: IBIT Bitcoin ETF (bc1q9),false,,inflow,2024-07-06T21:26:49Z,850999,00000000000000000000d06f31eee69622bffb77a2c4a52a6cce3d7b290197c1,Bitcoin,BTC,8,0.00000546,bitcoin,0.31638516,bitcoin
