transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
f08e4f979aaab52980b8a1df0f6a642ae3fcd74c5056bb1ca9502f058ad16e4a,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1q8c22jwu7xn4g2tatld0jpengwr65fm3fur7kw6,BlackRock: IBIT Bitcoin ETF (bc1q8),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
12b007ba4e34dcf3b9f3a7ed98d7c488a1b1401ae88d097b495b26c5abca1d4d,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qujqsgxamm7fgvdfafdw5nvzn65gup832ph5gyu,BlackRock: IBIT Bitcoin ETF (bc1qu),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
390dc0a7e1222aceada180d83b6bb9c6311870d8a89bb06eb8b301b13da5b73d,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qv9tfqcrmmmn4ulguqyuctknhy2pzqz88y02ad3,BlackRock: IBIT Bitcoin ETF (bc1qv),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
cddcae6339eb32b92fb28c8c6fca9da75c98e5c39b09409ac6f5534085eb5050,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qraaeqxrvutjvu42xt96ggr6yljxz63q40c8z2a,BlackRock: IBIT Bitcoin ETF (bc1qr),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
af1669f08d8189071730f2ab93d86206611771c09d0dbba7d59a8eb08871c245,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qnd6gh5gg76mxw9sun2clyzju7nvvpkk79trwna,BlackRock: IBIT Bitcoin ETF (bc1qn),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
413ab16afd9bb2000995c1c92648d37ff1907803a289e859b88d8b70f461f14c,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qu63642znw2gjvts5cr7yzwpku96hqv7s03jycg,BlackRock: IBIT Bitcoin ETF (bc1qu),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
307ea73ceda1a4fa4587a8382b265cc059278198f049ae6fbe1d552e2daaf846,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qj4v7jz9xeyhh9mtmyuzncnpv8u5ynezhp3z4cx,BlackRock: IBIT Bitcoin ETF (bc1qj),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
fe0af3e94cb2f2a4275fcfbcbc8ba69270fa107bf840cdc4dde186be69e6fc49,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qew36azr80ggu49l72szyagfm4xfpydp4vjrnsh,BlackRock: IBIT Bitcoin ETF (bc1qe),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
b3dccd341efb9571b736042af0f6cfa1433b3a0f572932783b9c13a01a39a340,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qm5452d3dg67dlmul9r2ktmvjv3m8s8aywmlrx4,BlackRock: IBIT Bitcoin ETF (bc1qm),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
ef43961c2298041350a6515a7fc17167d40c83c4350952101ed93406c38f4e4b,"bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck",bc1pnjwaufmvsu47ht643d2a9lclfzma2yxlg3z8ae8w4frzmspesjhqtradck,false,bc1qu9chlhnzdfxnu9f6ghtsy74qey0ydazrl753pc,BlackRock: IBIT Bitcoin ETF (bc1qu),false,,inflow,2024-07-06T23:02:15Z,851010,00000000000000000000af3a5c2f79b4402c68a233f8a1b05a4e4f56ba2e3b91,Bitcoin,BTC,8,0.00000546,bitcoin,0.31736796,bitcoin
